team,season,top_archetype,r2,w_Under-center TE motion,"w_Under-center outside, static",w_Downhill under center,w_Motion stretch,w_Gun RPO inside,w_QB-run spread,run_dir,shotgun_share,te_minus_backs,motion_rate,rpo_rate,qb_run_share,comps
DAL,2022,"Under-center outside, static",0.98,0.224,0.579,0.004,0.0,0.095,0.098,0.0634,0.3353,0.5422,0.4127,0.0392,0.0541,"CLE 2023, NYJ 2023, TEN 2023"
DAL,2023,"Under-center outside, static",0.9,0.0,0.562,0.228,0.028,0.126,0.057,0.0363,0.3711,0.1598,0.4278,0.0876,0.049,"DEN 2023, MIN 2025, CLE 2023"
DAL,2024,Downhill under center,0.79,0.0,0.271,0.436,0.0,0.101,0.191,-0.1935,0.4718,0.1411,0.3871,0.0444,0.0534,"HOU 2022, NE 2022, TB 2023"
DAL,2025,Downhill under center,0.92,0.096,0.168,0.356,0.122,0.225,0.033,-0.125,0.3725,0.1172,0.6211,0.0977,0.0229,"PIT 2022, DEN 2024, CLE 2023"
DEN,2022,Gun RPO inside,0.84,0.26,0.242,0.0,0.0,0.395,0.103,-0.0836,0.3953,0.6711,0.4286,0.093,0.0505,"SEA 2023, NE 2024, JAX 2023"
DEN,2023,"Under-center outside, static",0.78,0.0,0.739,0.163,0.035,0.064,0.0,0.1512,0.267,0.2039,0.4272,0.0874,0.0507,"MIN 2025, DAL 2023, CLE 2022"
DEN,2024,Downhill under center,0.79,0.059,0.314,0.337,0.0,0.24,0.05,-0.1082,0.3348,0.2078,0.4719,0.0736,0.0494,"NE 2024, MIN 2022, DAL 2023"
DEN,2025,"Under-center outside, static",0.37,0.0,0.394,0.1,0.183,0.116,0.207,0.0855,0.342,0.119,0.5576,0.1747,0.0756,"LAC 2022, CLE 2024, DAL 2023"
DET,2022,"Under-center outside, static",0.98,0.246,0.348,0.201,0.188,0.017,0.0,0.1024,0.2688,0.2244,0.5197,0.0276,0.0155,"TB 2024, HOU 2024, NYJ 2023"
DET,2023,"Under-center outside, static",0.93,0.303,0.423,0.005,0.241,0.027,0.0,0.1973,0.3038,0.3503,0.6122,0.0544,0.0167,"TB 2024, HOU 2024, MIN 2023"
DET,2024,"Under-center outside, static",0.77,0.197,0.632,0.0,0.107,0.064,0.0,0.2414,0.2731,0.5402,0.5172,0.0613,0.0076,"HOU 2024, MIN 2023, CLE 2022"
DET,2025,"Under-center outside, static",0.91,0.258,0.576,0.063,0.103,0.0,0.0,0.0965,0.1923,0.4962,0.6192,0.0654,0.0114,"HOU 2024, TB 2024, MIN 2023"
GB,2022,"Under-center outside, static",0.87,0.0,0.424,0.0,0.288,0.288,0.0,0.1951,0.5325,0.2834,0.4575,0.085,0.012,"NYJ 2024, PIT 2025, TEN 2025"
GB,2023,Under-center TE motion,0.88,0.423,0.0,0.0,0.224,0.286,0.066,-0.0323,0.5396,0.5018,0.7133,0.1004,0.0346,"LAC 2023, TEN 2024, NYJ 2022"
GB,2024,Gun RPO inside,0.88,0.019,0.0,0.0,0.32,0.66,0.0,-0.0896,0.6642,0.2425,0.6978,0.1381,0.0219,"CIN 2025, KC 2023, KC 2022"
