cluster_k6,label_k6,n,members_most_to_least_typical
0,Under-center play-action,41,"CLE 2025, TEN 2022, LA 2025, LV 2025, MIN 2023, CLE 2022, MIN 2024, CHI 2025, HOU 2022, DET 2024, MIN 2022, TEN 2023, SEA 2025, ARI 2025, CLE 2023, NO 2024, GB 2023, DET 2023, LA 2024, DAL 2022, ARI 2023, TEN 2024, BUF 2025, LAC 2024, LV 2024, ARI 2024, SEA 2023, HOU 2023, DAL 2025, NYJ 2023, NE 2025, LAC 2022, SEA 2022, LA 2022, HOU 2024, CAR 2022, NO 2022, LV 2022, MIN 2025, DEN 2022, DAL 2023"
1,"Shotgun spread, balanced",36,"CAR 2023, HOU 2025, LAC 2025, PIT 2023, TB 2025, IND 2022, NYG 2024, GB 2025, NO 2023, PIT 2022, BUF 2022, NE 2022, LA 2023, CAR 2024, DEN 2024, CHI 2024, IND 2024, TB 2022, GB 2024, NYJ 2024, DEN 2025, DAL 2024, JAX 2025, GB 2022, WAS 2022, DEN 2023, CAR 2025, JAX 2024, TEN 2025, TB 2024, LV 2023, NYG 2023, NYJ 2022, DET 2025, TB 2023, DET 2022"
2,Pass-first spread,18,"CIN 2024, KC 2024, KC 2022, KC 2025, CIN 2023, PIT 2025, CIN 2025, KC 2023, CIN 2022, JAX 2023, IND 2025, NE 2024, JAX 2022, NE 2023, SEA 2024, WAS 2023, CLE 2024, BUF 2024"
3,Shotgun QB-run / tempo,11,"WAS 2024, PHI 2023, ARI 2022, PHI 2022, WAS 2025, IND 2023, PHI 2025, BUF 2023, NYG 2025, LAC 2023, NO 2025"
4,"Shanahan wide-zone, two-back motion",10,"MIA 2025, MIA 2024, MIA 2023, SF 2025, SF 2022, SF 2023, MIA 2022, ATL 2024, ATL 2025, SF 2024"
5,Heavy power run + QB run,12,"CHI 2023, ATL 2022, CHI 2022, BAL 2024, BAL 2025, ATL 2023, BAL 2022, NYJ 2025, NYG 2022, BAL 2023, PHI 2024, PIT 2024"
