season,team,cluster_k5,label_k5,silhouette_k5,runner_up_k5,margin_k5,cluster_k7,label_k7,silhouette_k7,runner_up_k7,margin_k7,PC1,PC2,PC3,PC4,PC5,proe_early,under_center,pistol,pers_11,multi_te,two_back,empty_backfield,extra_ol,motion,no_huddle,outside_run,qb_design_run,rpo,play_action,screen,qb_out_of_pocket,time_to_throw,rb_target_share,te_target_share,n_plays,n_dropbacks
2022,KC,0,"Shotgun spread, pass-first",0.197,Shotgun QB-run / RPO,0.289,3,Pass-first spread (early-down PROE),0.353,"Shotgun spread, balanced",0.621,1.405,1.231,-0.002,2.108,0.97,0.1205,0.1928,0.0093,0.5455,0.416,0.0431,0.0649,0.0139,0.4977,0.0031,0.5025,0.0046,0.136,0.1878,0.1131,0.2195,2.651,0.1579,0.3258,649,442
2022,LA,1,Under-center play-action,0.117,"Shotgun spread, pass-first",0.18,2,Under-center 11p + motion (McVay-style),0.215,"Shotgun spread, balanced",0.336,0.595,-0.9,1.343,-3.035,0.059,-0.0188,0.5451,0.0,0.9242,0.056,0.0,0.0903,0.0036,0.4838,0.0632,0.5339,0.0253,0.0632,0.3522,0.1226,0.2233,2.836,0.1086,0.2135,554,318
2022,LAC,1,Under-center play-action,0.075,"Shotgun spread, pass-first",0.317,0,"Shotgun spread, balanced",0.103,"Under-center, multi-TE play-action",0.305,-0.051,-1.047,0.267,-0.215,-0.492,0.0688,0.3845,0.0129,0.6371,0.2843,0.1057,0.0514,0.0157,0.3829,0.0643,0.5299,0.0029,0.0571,0.3319,0.1011,0.1758,2.703,0.2488,0.1739,700,455
2022,LV,1,Under-center play-action,0.244,"Shotgun spread, pass-first",0.367,2,Under-center 11p + motion (McVay-style),0.15,"Under-center, multi-TE play-action",0.297,-0.625,-2.984,0.754,-0.741,0.067,-0.0425,0.5296,0.0016,0.6009,0.1087,0.3245,0.0436,0.0823,0.3941,0.0265,0.3764,0.0031,0.014,0.2712,0.0849,0.1288,2.77,0.2105,0.1734,644,365
2022,MIA,3,"Shanahan wide-zone, two-back motion",0.353,"Shotgun spread, pass-first",0.565,5,"Shanahan wide-zone, two-back motion",0.158,Under-center 11p + motion (McVay-style),0.38,-1.791,-0.948,-2.832,-1.311,2.001,-0.009,0.3641,0.0285,0.3934,0.1207,0.4678,0.1159,0.0,0.6887,0.0232,0.5084,0.005,0.0662,0.3499,0.0579,0.1377,2.503,0.1734,0.1238,605,363
2022,MIN,1,Under-center play-action,0.251,"Shotgun spread, pass-first",0.368,2,Under-center 11p + motion (McVay-style),0.319,"Under-center, multi-TE play-action",0.513,-0.449,-0.873,1.457,-1.853,1.557,0.0133,0.5261,0.0017,0.6902,0.1893,0.1635,0.0981,0.0052,0.401,0.1532,0.5311,0.0034,0.0327,0.3451,0.0897,0.1304,2.836,0.1062,0.2566,581,368
2022,NE,0,"Shotgun spread, pass-first",0.272,Under-center play-action,0.433,0,"Shotgun spread, balanced",0.199,Pass-first spread (early-down PROE),0.275,1.654,-2.066,-0.743,0.782,-0.744,-0.008,0.353,0.0049,0.7643,0.2095,0.0245,0.0608,0.0426,0.4138,0.0345,0.3566,0.0049,0.0411,0.2067,0.1257,0.0978,2.536,0.2338,0.1948,611,358
2022,NO,1,Under-center play-action,0.175,"Shotgun spread, pass-first",0.269,1,"Under-center, multi-TE play-action",0.314,"Shotgun spread, balanced",0.476,-0.763,-1.048,1.143,2.29,-0.08,-0.1133,0.4242,0.0144,0.4227,0.4856,0.1205,0.0632,0.0881,0.343,0.009,0.4549,0.0054,0.0289,0.1985,0.0551,0.1324,2.536,0.1983,0.2562,556,272
2022,NYG,1,Under-center play-action,0.1,"Shotgun spread, pass-first",0.213,0,"Shotgun spread, balanced",0.031,"Under-center, multi-TE play-action",0.043,0.506,0.466,1.794,-1.152,-1.087,-0.0327,0.4046,0.0114,0.6191,0.2966,0.0681,0.0471,0.0616,0.349,0.1542,0.4871,0.0373,0.0682,0.2873,0.0676,0.2732,2.77,0.2175,0.1509,617,355
2022,NYJ,0,"Shotgun spread, pass-first",0.108,Under-center play-action,0.211,0,"Shotgun spread, balanced",0.129,Under-center 11p + motion (McVay-style),0.198,-0.347,-0.679,-0.989,0.422,0.44,-0.0313,0.3644,0.0,0.5654,0.3877,0.0646,0.1131,0.0048,0.5687,0.0307,0.5224,0.0048,0.0517,0.2207,0.0899,0.1553,2.6085,0.1858,0.1765,619,367
