season,team,cluster,pc1,pc2,pct_under_center,pct_top_personnel,rush_rate,pa_personnel_match,disguise_entropy,outside_run_rate,pa_boot_rate,motion_rate,designed_qb_run_rate,rpo_rate,no_huddle_rate
2023,DET,4,-1.294,-0.1762,0.4668,0.6263,0.4462,0.8963,0.8522,0.5926,0.2062,0.5451,0.0133,0.0251,0.0325
2023,GB,1,0.0158,-0.0876,0.3363,0.5566,0.4535,0.9496,0.9196,0.4739,0.2273,0.6275,0.0165,0.0573,0.0468
2023,HOU,4,-1.7658,-0.1872,0.427,0.7834,0.4516,0.9585,0.7989,0.4891,0.4037,0.5207,0.2565,0.02,0.0568
2023,IND,2,5.3794,0.1939,0.0983,0.7613,0.4488,0.7091,0.921,0.3978,0.25,0.4836,0.0248,0.1919,0.1794
2023,JAX,3,2.0084,-0.422,0.2003,0.6304,0.4389,0.7821,0.8732,0.4087,0.2738,0.4508,0.0224,0.076,0.038
2023,KC,3,1.2812,-0.7426,0.1809,0.6153,0.3964,0.8685,0.9227,0.4869,0.2549,0.6229,0.0305,0.0726,0.0115
2023,LA,4,-1.6279,-2.2576,0.3911,0.9617,0.4227,0.9683,0.7843,0.4697,0.2895,0.7193,0.0276,0.023,0.092
2023,LAC,3,1.0017,-0.5289,0.2014,0.6643,0.4186,0.9206,0.8547,0.4808,0.2925,0.58,0.0271,0.0743,0.15
2023,LV,4,-1.8583,-1.2618,0.5095,0.7652,0.4367,0.9612,0.8032,0.4009,0.12,0.5644,0.3157,0.017,0.0398
2023,MIA,4,-1.9051,-1.516,0.1879,0.7761,0.3883,0.959,0.7222,0.6477,0.2717,0.814,0.0795,0.0474,0.0228
2023,MIN,4,-1.237,-0.5853,0.5117,0.6019,0.4102,0.9707,0.8322,0.5356,0.2483,0.4914,0.0573,0.0373,0.1151
2023,NE,3,0.6623,-1.048,0.3668,0.4671,0.4302,0.9536,0.8634,0.296,0.197,0.5132,0.0099,0.0724,0.0872
2023,NO,4,-0.5718,-0.482,0.4013,0.5836,0.4365,0.8678,0.7539,0.4484,0.3621,0.3344,0.0736,0.0385,0.0401
2023,NYG,1,0.6205,0.6672,0.3144,0.714,0.4755,0.8936,0.9022,0.4791,0.5068,0.5133,0.0415,0.0644,0.0947
2023,NYJ,4,-0.4185,-0.7315,0.4606,0.6039,0.4355,0.9028,0.8425,0.4756,0.2209,0.3781,0.0215,0.0358,0.0305
2023,PHI,2,3.3811,0.1415,0.0525,0.7241,0.4463,0.9525,0.945,0.4082,0.3125,0.2474,0.1612,0.0915,0.1574
2023,PIT,1,-0.3322,0.0457,0.3457,0.7099,0.4938,0.9023,0.7925,0.4521,0.4545,0.5247,0.0292,0.0725,0.0355
2023,SEA,3,0.5065,-0.9725,0.3282,0.5681,0.4068,0.878,0.8446,0.3887,0.2719,0.469,0.0154,0.0387,0.1115
2023,SF,4,-2.046,-1.112,0.3826,0.7963,0.4488,0.9554,0.8057,0.5075,0.3333,0.7201,0.0575,0.0187,0.0078
2023,TB,3,1.0494,-1.0381,0.2782,0.6722,0.423,0.8626,0.8803,0.3764,0.3274,0.4677,0.0194,0.0511,0.0406
2023,TEN,5,-0.369,1.2057,0.42,0.5008,0.4779,0.8071,0.816,0.4526,0.2273,0.3788,0.3249,0.038,0.0301
2023,WAS,3,2.1737,-1.3903,0.192,0.6746,0.3807,0.6789,0.8255,0.4444,0.2099,0.4095,0.0164,0.0658,0.0091
2024,ARI,1,-0.6409,0.3836,0.3028,0.443,0.4449,0.8793,0.8062,0.5094,0.3434,0.3832,0.0336,0.0093,0.0561
2024,ATL,4,-2.0414,-0.3636,0.1986,0.8729,0.4671,0.8943,0.6749,0.7683,0.2029,0.6871,0.0086,0.02,0.1286
2024,BAL,5,-0.6812,1.3281,0.2718,0.4752,0.5222,0.9501,0.8629,0.536,0.2268,0.5026,0.0853,0.0308,0.0342
2024,BUF,1,0.1063,-0.3946,0.3587,0.71,0.4843,0.8418,0.7881,0.392,0.2874,0.5531,0.0673,0.0673,0.0732
2024,CAR,4,-0.7293,-1.1141,0.4015,0.7361,0.4721,0.9115,0.7516,0.393,0.3878,0.4275,0.0019,0.0483,0.0204
2024,CHI,1,0.4729,0.8019,0.3446,0.6855,0.4576,0.8313,0.8227,0.5251,0.4074,0.5217,0.049,0.0565,0.2411
2024,CIN,3,0.7198,-2.4609,0.1477,0.5892,0.3308,0.9168,0.8077,0.401,0.2947,0.5031,0.0062,0.0492,0.0246
2024,CLE,1,0.7903,-0.4383,0.3074,0.6731,0.4152,0.8217,0.8827,0.4977,0.3039,0.47,0.0389,0.0459,0.0583
2024,DAL,4,-0.2785,-0.6587,0.3203,0.6111,0.4316,0.8753,0.83,0.4031,0.4157,0.5278,0.0228,0.0294,0.0376
2024,DEN,4,-0.4638,-0.899,0.3626,0.683,0.4471,0.9434,0.7458,0.4403,0.3585,0.3929,0.0202,0.0523,0.1046
2024,DET,5,-2.1523,1.0305,0.553,0.5389,0.4683,0.9711,0.8976,0.616,0.1712,0.6272,0.1989,0.0283,0.0406
2024,GB,1,0.5986,0.8513,0.2678,0.6423,0.5375,0.9325,0.9198,0.4562,0.2687,0.6723,0.0112,0.0861,0.0468
2024,HOU,5,-1.6175,0.817,0.4218,0.6224,0.4277,0.8462,0.7991,0.5581,0.453,0.5782,0.2891,0.0295,0.0369
2024,IND,1,0.8464,0.3165,0.124,0.6948,0.5127,0.8598,0.7847,0.447,0.2818,0.4595,0.0683,0.0525,0.1065
2024,JAX,1,0.5481,-0.3063,0.3316,0.619,0.478,0.8225,0.7858,0.388,0.2442,0.3845,0.0229,0.0441,0.1076
2024,KC,3,0.7636,-1.2667,0.227,0.4994,0.4184,0.9061,0.8542,0.3221,0.2538,0.6086,0.0037,0.0712,0.0012
2024,LA,4,-1.6329,-1.1839,0.5189,0.8196,0.4476,0.9012,0.8889,0.4244,0.3197,0.7874,0.0196,0.0098,0.0531
2024,LAC,4,-0.613,-1.5365,0.3184,0.7712,0.4322,0.8723,0.81,0.488,0.1719,0.5456,0.0191,0.016,0.0256
2024,LV,4,-0.7581,-0.7767,0.3284,0.4745,0.4393,0.9111,0.7941,0.32,0.3762,0.6207,0.023,0.0361,0.0361
2024,MIA,4,-2.1006,0.0996,0.2611,0.5862,0.4713,0.8917,0.738,0.583,0.3137,0.7898,0.0181,0.0263,0.0361
2024,MIN,4,-1.9486,-1.5938,0.4754,0.6637,0.3937,0.9611,0.7242,0.4774,0.3333,0.5405,0.0351,0.0282,0.1056
2024,NE,4,-1.0357,-0.0249,0.3702,0.5488,0.4788,0.9555,0.7825,0.435,0.4079,0.4972,0.0184,0.0479,0.0405
2024,NO,5,-2.5535,2.0,0.4945,0.428,0.4852,0.9425,0.8181,0.664,0.5195,0.5277,0.0517,0.0221,0.0443
2024,NYG,1,0.2894,-0.1684,0.346,0.6988,0.4742,0.9149,0.8744,0.4264,0.2959,0.5043,0.0687,0.0534,0.0809
2024,NYJ,4,-0.7124,-0.922,0.2888,0.6661,0.4022,0.9416,0.793,0.5976,0.2946,0.5109,0.0016,0.0435,0.059
