season,team,rush_n,pct_end,pct_tackle,pct_guard,pct_middle,dropback_n,pa_rate
2022,ARI,240,0.20833333333333334,0.2125,0.17083333333333334,0.4083333333333333,373,0.19571045576407506
2022,ATL,315,0.43174603174603177,0.36507936507936506,0.15555555555555556,0.047619047619047616,276,0.42028985507246375
2022,BAL,302,0.26490066225165565,0.2582781456953642,0.31456953642384106,0.16225165562913907,369,0.27371273712737126
2022,BUF,238,0.2773109243697479,0.18907563025210083,0.27310924369747897,0.2605042016806723,455,0.22417582417582418
2022,CAR,258,0.15503875968992248,0.25193798449612403,0.2713178294573643,0.32170542635658916,269,0.3382899628252788
2022,CHI,302,0.3609271523178808,0.24503311258278146,0.30132450331125826,0.09271523178807947,295,0.28135593220338984
2022,CIN,197,0.15228426395939088,0.233502538071066,0.3756345177664975,0.23857868020304568,449,0.13808463251670378
2022,CLE,301,0.20930232558139536,0.39867109634551495,0.32558139534883723,0.0664451827242525,342,0.24269005847953215
2022,DAL,350,0.26571428571428574,0.26285714285714284,0.2,0.2714285714285714,388,0.2963917525773196
2022,DEN,313,0.23961661341853036,0.22044728434504793,0.2779552715654952,0.26198083067092653,422,0.22274881516587677
2022,DET,256,0.21875,0.328125,0.12890625,0.32421875,316,0.310126582278481
2022,GB,248,0.3790322580645161,0.21370967741935484,0.18951612903225806,0.21774193548387097,335,0.3074626865671642
2022,HOU,287,0.22996515679442509,0.24041811846689895,0.24738675958188153,0.28222996515679444,332,0.3042168674698795
2022,IND,271,0.12546125461254612,0.28044280442804426,0.22140221402214022,0.3726937269372694,349,0.2177650429799427
2022,JAX,269,0.34944237918215615,0.15985130111524162,0.15985130111524162,0.3308550185873606,374,0.23529411764705882
2022,KC,246,0.3089430894308943,0.2032520325203252,0.23577235772357724,0.25203252032520324,539,0.19109461966604824
2022,LA,233,0.24892703862660945,0.2918454935622318,0.2145922746781116,0.2446351931330472,318,0.3522012578616352
2022,LAC,247,0.21052631578947367,0.291497975708502,0.30364372469635625,0.19433198380566802,470,0.3276595744680851
2022,LV,275,0.18181818181818182,0.1890909090909091,0.32727272727272727,0.3018181818181818,365,0.27123287671232876
2022,MIA,249,0.27309236947791166,0.23293172690763053,0.2570281124497992,0.23694779116465864,385,0.34805194805194806
2022,MIN,226,0.29646017699115046,0.2168141592920354,0.23008849557522124,0.25663716814159293,395,0.34177215189873417
2022,NE,249,0.1686746987951807,0.18072289156626506,0.3333333333333333,0.3172690763052209,358,0.20670391061452514
2022,NO,280,0.20357142857142857,0.25,0.4035714285714286,0.14285714285714285,272,0.19852941176470587
2022,NYG,277,0.26714801444043323,0.23465703971119134,0.2490974729241877,0.2490974729241877,392,0.2729591836734694
2022,NYJ,251,0.3147410358565737,0.199203187250996,0.26294820717131473,0.22310756972111553,367,0.22070844686648503
