season,team,n_plays,proe_early,under_center,pistol_of_gun,avg_te,avg_backs,extra_ol,empty_backfield,motion,no_huddle,rpo,qb_run_share,outside_run,n_dropbacks,play_action,screen,qb_out_of_pocket,quick_throw,n_targets,adot,deep_rate,middle_target,rb_target_share,te_target_share
2022,ARI,618,0.013622878052120249,0.11237785016286644,0.08623853211009175,1.3042071197411003,1.035598705501618,0.009708737864077669,0.11831442463533225,0.34359805510534847,0.34359805510534847,0.08265802269043761,0.14814814814814814,0.3961352657004831,373,0.19571045576407506,0.12332439678284182,0.12332439678284182,0.5223880597014925,327,6.492354740061162,0.10397553516819572,0.1743119266055046,0.14678899082568808,0.1743119266055046
2022,ATL,594,-0.12965007429989447,0.2542087542087542,0.3905191873589165,1.5101010101010102,1.3535353535353536,0.003367003367003367,0.06060606060606061,0.5218855218855218,0.1414141414141414,0.05387205387205387,0.07961783439490445,0.7889273356401384,276,0.42028985507246375,0.10144927536231885,0.2572463768115942,0.37656903765690375,236,9.466101694915254,0.1694915254237288,0.2330508474576271,0.1652542372881356,0.3008474576271186
2022,BAL,632,-0.0032823539523746826,0.11428571428571428,0.30286738351254483,1.5965189873417722,1.6281645569620253,0.004746835443037975,0.12025316455696203,0.5189873417721519,0.0379746835443038,0.05063291139240506,0.17454545454545456,0.5022026431718062,353,0.26912181303116145,0.06515580736543909,0.2096317280453258,0.4444444444444444,288,8.3125,0.13194444444444445,0.2569444444444444,0.13541666666666666,0.3958333333333333
2022,BUF,632,0.06911192050883694,0.2770700636942675,0.0022026431718061676,1.0585443037974684,1.2262658227848102,0.07278481012658228,0.08412698412698413,0.4015873015873016,0.0873015873015873,0.044444444444444446,0.1320754716981132,0.483695652173913,411,0.23114355231143552,0.05596107055961071,0.1678832116788321,0.4350282485875706,348,8.35919540229885,0.12931034482758622,0.1724137931034483,0.23850574712643677,0.1235632183908046
2022,CAR,533,-0.07503381656373248,0.504708097928437,0.022813688212927757,1.3452157598499062,1.0112570356472796,0.075046904315197,0.047080979284369114,0.3747645951035782,0.05084745762711865,0.04519774011299435,0.03488372093023256,0.40725806451612906,269,0.3382899628252788,0.16356877323420074,0.1970260223048327,0.4489795918367347,242,6.966942148760331,0.11570247933884298,0.128099173553719,0.128099173553719,0.19421487603305784
2022,CHI,608,-0.11327205394577776,0.3669421487603306,0.0026109660574412533,1.28125,1.2220394736842106,0.004934210526315789,0.07603305785123966,0.43140495867768597,0.03636363636363636,0.03801652892561983,0.17940199335548174,0.5685483870967742,295,0.28135593220338984,0.14576271186440679,0.2847457627118644,0.3755656108597285,215,8.0,0.13488372093023257,0.16744186046511628,0.16744186046511628,0.24186046511627907
2022,CIN,538,0.11054433406371893,0.150093808630394,0.002207505518763797,1.079925650557621,0.9962825278810409,0.022304832713754646,0.1254681647940075,0.2340823970037453,0.020599250936329586,0.07116104868913857,0.02531645569620253,0.4025974025974026,371,0.14016172506738545,0.06199460916442048,0.1078167115902965,0.5575757575757576,323,6.904024767801857,0.0804953560371517,0.2260061919504644,0.24148606811145512,0.15789473684210525
2022,CLE,645,-0.05851706522967546,0.4572317262830482,0.025787965616045846,1.434108527131783,1.1131782945736435,0.11937984496124031,0.10714285714285714,0.4192546583850932,0.09161490683229814,0.031055900621118012,0.037800687285223365,0.6285714285714286,342,0.24269005847953215,0.07017543859649122,0.20175438596491227,0.3639344262295082,299,7.374581939799331,0.11036789297658862,0.18729096989966554,0.15384615384615385,0.3076923076923077
2022,DAL,664,-0.07446021714713424,0.4621212121212121,0.03943661971830986,1.4337349397590362,1.0376506024096386,0.030120481927710843,0.060240963855421686,0.41566265060240964,0.14156626506024098,0.03463855421686747,0.02258064516129032,0.521594684385382,346,0.2976878612716763,0.08092485549132948,0.15895953757225434,0.40625,308,7.324675324675325,0.09740259740259741,0.2435064935064935,0.1590909090909091,0.22402597402597402
2022,DEN,740,-0.0364806887502201,0.3986394557823129,0.02262443438914027,1.5527027027027027,1.0337837837837838,0.002702702702702703,0.05142083897158322,0.34370771312584575,0.04871447902571042,0.05953991880920163,0.03215434083601286,0.45819397993311034,422,0.22274881516587677,0.0971563981042654,0.17298578199052134,0.4088397790055249,353,7.747875354107649,0.1388101983002833,0.21529745042492918,0.24645892351274787,0.19830028328611898
2022,DET,575,-0.023228147171081334,0.5017543859649123,0.02112676056338028,1.2417391304347827,1.093913043478261,0.09739130434782609,0.06968641114982578,0.48606271777003485,0.03484320557491289,0.027874564459930314,0.0078125,0.5511811023622047,316,0.310126582278481,0.12341772151898735,0.12974683544303797,0.44966442953020136,293,6.170648464163823,0.08532423208191127,0.18088737201365188,0.19795221843003413,0.15699658703071673
2022,GB,586,-0.02696635794982446,0.3259005145797599,0.007633587786259542,1.3566552901023892,1.1177474402730376,0.0017064846416382253,0.08034188034188035,0.4376068376068376,0.015384615384615385,0.08205128205128205,0.004032258064516129,0.5975609756097561,335,0.3074626865671642,0.10149253731343283,0.13134328358208955,0.5098039215686274,298,7.318791946308725,0.13087248322147652,0.2550335570469799,0.24161073825503357,0.1476510067114094
2022,HOU,619,-0.0408434222878541,0.4538087520259319,0.02967359050445104,1.4733441033925687,1.1890145395799676,0.033925686591276254,0.06785137318255251,0.3554119547657512,0.05654281098546042,0.024232633279483037,0.05653710247349823,0.45692883895131087,332,0.3042168674698795,0.12048192771084337,0.14457831325301204,0.45098039215686275,298,7.214765100671141,0.09731543624161074,0.15436241610738255,0.17114093959731544,0.2684563758389262
2022,IND,627,-0.05484780374906663,0.28892455858747995,0.0,1.215311004784689,1.0606060606060606,0.03189792663476874,0.052969502407704656,0.29373996789727125,0.12841091492776885,0.0593900481540931,0.022388059701492536,0.4122137404580153,349,0.2177650429799427,0.06876790830945559,0.10315186246418338,0.45161290322580644,298,5.966442953020135,0.06711409395973154,0.25838926174496646,0.22483221476510068,0.16778523489932887
2022,JAX,600,-0.004616523645025619,0.27563025210084036,0.01160092807424594,1.3983333333333334,1.02,0.01,0.06700167504187604,0.4623115577889447,0.06030150753768844,0.06197654941373534,0.05668016194331984,0.5236051502145923,341,0.2404692082111437,0.12316715542521994,0.1495601173020528,0.5222929936305732,312,6.573717948717949,0.07371794871794872,0.20512820512820512,0.11858974358974358,0.2403846153846154
2022,KC,649,0.12051862345108967,0.19284603421461896,0.011560693641618497,1.5223420647149462,1.0385208012326657,0.01386748844375963,0.06491499227202473,0.49768160741885625,0.0030911901081916537,0.13601236476043277,0.014634146341463415,0.5024875621890548,442,0.18778280542986425,0.11312217194570136,0.21945701357466063,0.4317617866004963,399,7.0701754385964914,0.08521303258145363,0.18546365914786966,0.15789473684210525,0.3258145363408521
2022,LA,554,-0.018822556485732396,0.5451263537906137,0.0,1.0379061371841156,0.9981949458483754,0.0036101083032490976,0.09025270758122744,0.48375451263537905,0.0631768953068592,0.0631768953068592,0.059574468085106386,0.5339366515837104,318,0.3522012578616352,0.12264150943396226,0.22327044025157233,0.36900369003690037,267,7.310861423220974,0.11610486891385768,0.1647940074906367,0.10861423220973783,0.21348314606741572
2022,LAC,700,0.0688098542364349,0.38450502152080346,0.02097902097902098,1.3057142857142856,1.1057142857142856,0.015714285714285715,0.05142857142857143,0.38285714285714284,0.06428571428571428,0.05714285714285714,0.00847457627118644,0.5299145299145299,455,0.33186813186813185,0.1010989010989011,0.17582417582417584,0.3586698337292161,414,6.01207729468599,0.07729468599033816,0.14009661835748793,0.24879227053140096,0.17391304347826086
2022,LV,644,-0.04247851513709004,0.5295950155763239,0.0033112582781456954,1.076086956521739,1.326086956521739,0.08229813664596274,0.04361370716510903,0.3940809968847352,0.0264797507788162,0.014018691588785047,0.007326007326007326,0.3763837638376384,365,0.27123287671232876,0.08493150684931507,0.12876712328767123,0.338368580060423,323,8.724458204334365,0.12074303405572756,0.2848297213622291,0.21052631578947367,0.17337461300309598
2022,MIA,605,-0.009045781025403663,0.3640939597315436,0.044854881266490766,1.0380165289256198,1.4545454545454546,0.0,0.11589403973509933,0.6887417218543046,0.023178807947019868,0.06622516556291391,0.0125,0.5084033613445378,363,0.349862258953168,0.05785123966942149,0.13774104683195593,0.49096385542168675,323,9.024767801857585,0.1393188854489164,0.25696594427244585,0.17337461300309598,0.1238390092879257
2022,MIN,581,0.013275575842667049,0.5261324041811847,0.003676470588235294,1.189328743545611,1.1635111876075732,0.0051635111876075735,0.0981067125645439,0.4010327022375215,0.153184165232358,0.03270223752151463,0.009523809523809525,0.5311004784688995,368,0.3451086956521739,0.08967391304347826,0.13043478260869565,0.3226744186046512,339,7.091445427728614,0.07964601769911504,0.18584070796460178,0.10619469026548672,0.25663716814159293
2022,NE,611,-0.008035162172138318,0.3530377668308703,0.007614213197969543,1.2078559738134207,1.0147299509001637,0.0425531914893617,0.060755336617405585,0.41379310344827586,0.034482758620689655,0.041050903119868636,0.012145748987854251,0.35655737704918034,358,0.20670391061452514,0.12569832402234637,0.09776536312849161,0.48580441640378547,308,6.318181818181818,0.1038961038961039,0.2077922077922078,0.23376623376623376,0.19480519480519481
