season,posteam,pct_pistol,pct_shotgun,pct_under_center,formation_hhi,pct_shotgun_or_pistol,pct_pers_11,pct_pers_12,pct_pers_13,pct_pers_21,pct_pers_10,pct_pers_01,pct_pers_22,pct_pers_02,personnel_hhi,n_personnel_groups_5plus
2022,ARI,0.0903954802259887,0.9096045197740112,0.0,0.8355517252385967,1.0,0.6655367231638418,0.22937853107344633,0.00903954802259887,0.0192090395480226,0.05649717514124294,0.0,0.0022598870056497176,0.0,0.4995282326279166,6
2022,ATL,0.5517241379310345,0.4482758620689655,0.0,0.5053507728894173,1.0,0.4281609195402299,0.20977011494252873,0.05316091954022988,0.22270114942528735,0.008620689655172414,0.0,0.07183908045977011,0.0,0.2849905866032501,6
2022,BAL,0.4307875894988067,0.5692124105011933,0.0,0.5095807155347714,1.0,0.1324582338902148,0.2016706443914081,0.03937947494033413,0.2529832935560859,0.0,0.0,0.3627684964200477,0.0,0.25541549660801655,5
2022,BUF,0.015172413793103448,0.9848275862068966,0.0,0.9701155766944114,1.0,0.8620689655172413,0.022068965517241378,0.0,0.09241379310344827,0.016551724137931035,0.001379310344827586,0.004137931034482759,0.0,0.7524851367419737,4
2022,CAR,0.00808080808080808,0.9919191919191919,0.0,0.9839689827568614,1.0,0.9030303030303031,0.046464646464646465,0.00404040404040404,0.04040404040404041,0.00404040404040404,0.0,0.0,0.00202020202020202,0.8192919089888787,3
2022,CHI,0.015985790408525755,0.9840142095914742,0.0,0.9685395101729191,1.0,0.7193605683836589,0.12966252220248667,0.02486678507992895,0.11012433392539965,0.0,0.0,0.014209591474245116,0.0,0.5472427903044144,5
2022,CIN,0.013033175355450236,0.9869668246445498,0.0,0.9742733766087914,1.0,0.9609004739336493,0.017772511848341232,0.001184834123222749,0.0,0.015402843601895734,0.0,0.0,0.0035545023696682463,0.9238982727252308,3
2022,CLE,0.02717391304347826,0.9728260869565217,0.0,0.9471290170132325,1.0,0.7717391304347826,0.10869565217391304,0.018115942028985508,0.08514492753623189,0.0018115942028985507,0.0,0.007246376811594203,0.0,0.6150821781138416,4
2022,DAL,0.03776683087027915,0.9622331691297209,0.0,0.9273190052874103,1.0,0.8538587848932676,0.07717569786535304,0.011494252873563218,0.03940886699507389,0.0016420361247947454,0.003284072249589491,0.0,0.0,0.7368104594195981,4
2022,DEN,0.030816640986132512,0.9691833590138675,0.0,0.9402660487510714,1.0,0.7442218798151001,0.1941448382126348,0.01386748844375963,0.04776579352850539,0.0,0.0,0.0,0.0,0.594032302867277,4
2022,DET,0.024439918533604887,0.9755600814663951,0.0,0.9523147821686486,1.0,0.8615071283095723,0.04480651731160896,0.006109979633401222,0.028513238289205704,0.034623217922606926,0.010183299389002037,0.0,0.0,0.7464586591228675,4
2022,GB,0.025477707006369428,0.9745222929936306,0.0,0.950342813095866,1.0,0.6210191082802548,0.21815286624203822,0.0031847133757961785,0.14171974522292993,0.006369426751592357,0.0015923566878980893,0.0,0.0,0.4534565296766603,3
2022,HOU,0.04580152671755725,0.9541984732824428,0.0,0.9125925062642037,1.0,0.7633587786259542,0.16984732824427481,0.026717557251908396,0.01717557251908397,0.015267175572519083,0.0019083969465648854,0.0,0.0,0.6128430744129131,5
2022,IND,0.005128205128205128,0.9948717948717949,0.0,0.9897961867192637,1.0,0.8769230769230769,0.07564102564102564,0.002564102564102564,0.03717948717948718,0.002564102564102564,0.0,0.005128205128205128,0.0,0.776137409598948,3
2022,JAX,0.029304029304029304,0.9706959706959707,0.0,0.9431093936588442,1.0,0.7997557997557998,0.15018315018315018,0.030525030525030524,0.013431013431013432,0.006105006105006105,0.0,0.0,0.0,0.6633137585518539,4
2022,KC,0.016251354279523293,0.9837486457204767,0.0,0.9680255044727906,1.0,0.6153846153846154,0.30985915492957744,0.06717226435536294,0.0065005417118093175,0.0,0.0010834236186348862,0.0,0.0,0.4792664646936541,4
2022,LA,0.009411764705882352,0.9905882352941177,0.0,0.9813536332179931,1.0,0.9741176470588235,0.01411764705882353,0.0,0.0,0.009411764705882352,0.002352941176470588,0.0,0.0,0.9491986159169551,2
2022,LAC,0.0343878954607978,0.9656121045392022,0.0,0.9335892637868499,1.0,0.8335625859697386,0.11416781292984869,0.005502063273727648,0.03576341127922971,0.002751031636863824,0.0,0.0041265474552957355,0.0,0.709211793487207,3
2022,LV,0.005964214711729622,0.9940357852882704,0.0,0.9881427142907961,1.0,0.8707753479125249,0.061630218687872766,0.0,0.061630218687872766,0.0,0.0,0.0,0.0,0.7658818461003364,3
2022,MIA,0.04631217838765009,0.9536878216123499,0.0,0.9116652789587187,1.0,0.5831903945111492,0.0823327615780446,0.0,0.2504288164665523,0.025728987993138937,0.003430531732418525,0.005145797598627788,0.0,0.4127788778101086,5
2022,MIN,0.007722007722007722,0.9922779922779923,0.0,0.9846752433625021,1.0,0.9555984555984556,0.03861003861003861,0.0019305019305019305,0.0019305019305019305,0.0,0.0,0.0019305019305019305,0.0,0.9146703239367332,2
2022,NE,0.019543973941368076,0.9804560260586319,0.0,0.9616759859521056,1.0,0.8664495114006515,0.0749185667752443,0.0,0.02768729641693811,0.003257328990228013,0.02280130293159609,0.0016286644951140066,0.003257328990228013,0.7576579061846811,4
2022,NO,0.028225806451612902,0.9717741935483871,0.0,0.945141779396462,1.0,0.780241935483871,0.13709677419354838,0.016129032258064516,0.04233870967741935,0.004032258064516129,0.0,0.0020161290322580645,0.0020161290322580645,0.6297883064516129,4
2022,NYG,0.03142857142857143,0.9685714285714285,0.0,0.9391183673469388,1.0,0.8128571428571428,0.11714285714285715,0.0,0.055714285714285716,0.007142857142857143,0.0,0.0014285714285714286,0.0,0.6776367346938774,3
2022,NYJ,0.008665511265164644,0.9913344887348353,0.0,0.9828191596406439,1.0,0.8024263431542461,0.1438474870017331,0.0017331022530329288,0.038128249566724434,0.0,0.0,0.01386481802426343,0.0,0.6662291359418976,4
2022,PHI,0.0975609756097561,0.9024390243902439,0.0,0.8239143367043427,1.0,0.7270168855534709,0.21857410881801126,0.04690431519699812,0.004690431519699813,0.001876172607879925,0.0,0.0009380863039399625,0.0,0.578554607886965,3
2022,PIT,0.040995607613469986,0.95900439238653,0.0,0.9213700644602552,1.0,0.8111273792093704,0.17569546120058566,0.0014641288433382138,0.010248901903367497,0.0,0.0,0.0014641288433382138,0.0,0.6889058477263128,3
2022,SEA,0.16531604538087522,0.8346839546191248,0.0,0.7240266989589927,1.0,0.6807131280388979,0.24149108589951376,0.04538087520259319,0.03241491085899514,0.0,0.0,0.0,0.0,0.5247984575335773,4
