season,team,run_n,dir_n,form_n,pct_outside,pct_inside,pct_shotgun_or_pistol,pct_pistol,pct_under_center,pers_n,avg_rb,avg_fb,avg_te,te_minus_backs,heavy,ftn_n,motion_rate
2025,ARI,166,166,166,0.5843373493975904,0.41566265060240964,0.31927710843373497,0.03614457831325301,0.6807228915662651,166,1.0060240963855422,0.0,1.6506024096385543,0.6445783132530121,2.6566265060240966,166,0.5060240963855421
2025,ATL,277,277,276,0.6425992779783394,0.3574007220216607,0.6956521739130435,0.5978260869565217,0.30434782608695654,277,1.1263537906137184,0.0,1.7075812274368232,0.5812274368231047,2.833935018050542,277,0.7292418772563177
2025,BAL,251,250,251,0.508,0.492,0.41434262948207173,0.12749003984063745,0.5856573705179283,251,1.4741035856573705,0.4581673306772908,1.5537848605577689,0.07968127490039834,3.0278884462151394,251,0.5537848605577689
2025,BUF,259,259,259,0.44787644787644787,0.5521235521235521,0.21621621621621623,0.011583011583011582,0.7837837837837838,259,1.274131274131274,0.25096525096525096,1.555984555984556,0.28185328185328196,2.83011583011583,259,0.6332046332046332
2025,CAR,274,273,274,0.38461538461538464,0.6153846153846154,0.3905109489051095,0.14233576642335766,0.6094890510948905,274,1.0364963503649636,0.0,1.6204379562043796,0.583941605839416,2.656934306569343,274,0.5547445255474452
2025,CHI,307,306,307,0.5065359477124183,0.4934640522875817,0.24429967426710097,0.029315960912052116,0.755700325732899,307,0.9804560260586319,0.0,1.6514657980456027,0.6710097719869708,2.631921824104235,307,0.6579804560260586
2025,CIN,199,199,199,0.3417085427135678,0.6582914572864321,0.6130653266331658,0.05527638190954774,0.3869346733668342,199,1.050251256281407,0.0,1.4120603015075377,0.36180904522613067,2.4623115577889445,199,0.6532663316582915
2025,CLE,254,253,254,0.4150197628458498,0.5849802371541502,0.3700787401574803,0.03543307086614173,0.6299212598425197,254,1.0236220472440944,0.0,1.6614173228346456,0.6377952755905512,2.68503937007874,254,0.562992125984252
2025,DAL,256,256,255,0.4375,0.5625,0.37254901960784315,0.0392156862745098,0.6274509803921569,256,1.1953125,0.23828125,1.3125,0.1171875,2.5078125,256,0.62109375
2025,DEN,269,269,269,0.5427509293680297,0.45724907063197023,0.3420074349442379,0.06691449814126393,0.6579925650557621,269,1.2527881040892193,0.2527881040892193,1.3717472118959109,0.11895910780669161,2.6245353159851303,269,0.5576208178438662
2025,DET,260,259,260,0.5482625482625483,0.4517374517374517,0.19230769230769232,0.007692307692307693,0.8076923076923077,260,1.05,0.0,1.5461538461538462,0.49615384615384617,2.5961538461538463,260,0.6192307692307693
2025,GB,291,291,291,0.49828178694158076,0.5017182130584192,0.4604810996563574,0.09965635738831616,0.5395189003436426,291,1.0481099656357389,0.0,1.4398625429553265,0.39175257731958757,2.4879725085910653,291,0.6666666666666666
2025,HOU,274,274,274,0.3722627737226277,0.6277372262773723,0.34306569343065696,0.0,0.656934306569343,274,1.2226277372262773,0.19708029197080293,1.0802919708029197,-0.14233576642335755,2.302919708029197,274,0.6240875912408759
2025,IND,247,246,246,0.36585365853658536,0.6341463414634146,0.605691056910569,0.07317073170731707,0.3943089430894309,247,1.0202429149797572,0.0,1.5060728744939271,0.48582995951416996,2.526315789473684,247,0.5344129554655871
2025,JAX,220,220,220,0.45454545454545453,0.5454545454545454,0.32727272727272727,0.05,0.6727272727272727,220,1.0545454545454545,0.0,1.3636363636363635,0.3090909090909091,2.418181818181818,220,0.6909090909090909
2025,KC,242,242,242,0.4297520661157025,0.5702479338842975,0.5578512396694215,0.05371900826446281,0.44214876033057854,242,1.103305785123967,0.0,1.5578512396694215,0.4545454545454546,2.6611570247933884,242,0.48760330578512395
2025,LA,282,282,282,0.4574468085106383,0.5425531914893617,0.0851063829787234,0.0,0.9148936170212766,282,1.0,0.0,1.9680851063829787,0.9680851063829787,2.9680851063829787,282,0.7978723404255319
2025,LAC,215,215,215,0.4418604651162791,0.5581395348837209,0.4232558139534884,0.07906976744186046,0.5767441860465117,215,1.558139534883721,0.5581395348837209,1.0046511627906978,-0.5534883720930233,2.562790697674419,215,0.6232558139534884
2025,LV,209,209,209,0.3492822966507177,0.6507177033492823,0.31100478468899523,0.0430622009569378,0.6889952153110048,209,1.0047846889952152,0.0,1.5980861244019138,0.5933014354066986,2.602870813397129,209,0.5311004784688995
2025,MIA,198,198,198,0.6313131313131313,0.3686868686868687,0.5858585858585859,0.31313131313131315,0.41414141414141414,198,1.6868686868686869,0.5505050505050505,1.0757575757575757,-0.6111111111111112,2.7626262626262625,198,0.8484848484848485
2025,MIN,222,222,222,0.5225225225225225,0.4774774774774775,0.21621621621621623,0.018018018018018018,0.7837837837837838,222,1.2207207207207207,0.21621621621621623,1.4639639639639639,0.2432432432432432,2.684684684684685,222,0.5855855855855856
2025,NE,260,260,259,0.4461538461538462,0.5538461538461539,0.2162162162162162,0.003861003861003861,0.7837837837837838,260,1.3615384615384616,0.3038461538461538,1.373076923076923,0.011538461538461497,2.7346153846153847,260,0.5153846153846153
2025,NO,204,204,204,0.38235294117647056,0.6176470588235294,0.5490196078431372,0.08823529411764706,0.45098039215686275,204,1.0098039215686274,0.0,1.3872549019607843,0.37745098039215685,2.3970588235294117,204,0.6764705882352942
2025,NYG,249,249,248,0.4979919678714859,0.5020080321285141,0.6048387096774194,0.16129032258064516,0.3951612903225806,249,1.0080321285140563,0.0,1.6506024096385543,0.642570281124498,2.6586345381526106,249,0.39357429718875503
2025,NYJ,196,196,196,0.413265306122449,0.5867346938775511,0.5153061224489796,0.08163265306122448,0.4846938775510204,196,1.1989795918367347,0.19387755102040816,1.3520408163265305,0.15306122448979576,2.5510204081632653,196,0.6989795918367347
2025,PHI,247,247,247,0.4939271255060729,0.5060728744939271,0.6072874493927125,0.1214574898785425,0.39271255060728744,247,1.0161943319838056,0.0,1.5546558704453441,0.5384615384615385,2.57085020242915,247,0.43724696356275305
2025,PIT,266,266,266,0.5338345864661654,0.46616541353383456,0.40225563909774437,0.03759398496240601,0.5977443609022557,266,1.0263157894736843,0.0,1.6353383458646618,0.6090225563909775,2.6616541353383463,266,0.6390977443609023
2025,SEA,265,265,265,0.5018867924528302,0.4981132075471698,0.19245283018867923,0.04150943396226415,0.8075471698113208,265,1.271698113207547,0.1811320754716981,1.6528301886792454,0.38113207547169825,2.9245283018867925,265,0.49056603773584906
